Time,force_x,force_y,force_z
3.635,54.50541511180517,0.19853498711537054,56.11553406262291
3.636,54.51715103346409,0.19864791787780686,56.12896246824356
3.637,54.52894428093384,0.1987592172016424,56.14243964808247
3.638,54.54079495111727,0.19886888098649258,56.15596573040203
3.639,54.55270312159476,0.1989769044382332,56.169540827262935
3.64,54.56466885055545,0.19908328408240428,56.1831650344854
3.641,54.57669217676876,0.19918801622600818,56.19683843172963
3.642,54.588773119006575,0.1992910964013926,56.210561081915245
3.643,54.6009116764831,0.199392521348696,56.22433303175629
3.644,54.613107828443525,0.1994922854325942,56.23815431139752
3.645,54.62536153410402,0.1995903855941917,56.25202493441145
3.646,54.63767273254892,0.19968681831323049,56.26594489776603
3.647,54.650041342576394,0.19978157806073368,56.27991418169508
3.648,54.6624672628426,0.1998746617186782,56.29393274995088
3.649,54.67495037136336,0.1999660645596527,56.308000549299905
3.65,54.68749052583799,0.20005578290948686,56.32211750999208
3.651,54.70008756329356,0.20014381275935295,56.33628354538402
3.652,54.71274130013983,0.20023014908476464,56.35049855208207
3.653,54.7254515320405,0.20031478862885338,56.364762409914675
3.654,54.73821803377319,0.20039772656535235,56.37907498177718
3.655,54.751040559423856,0.2004789588701348,56.3934361139321
3.656,54.76391884202715,0.200558481388816,56.40784563572579
3.657,54.776852593735,0.2006362904395932,56.422303359773295
3.658,54.78984150561948,0.20071238108998066,56.43680908185087
3.659,54.80288524765428,0.20078674874372135,56.45136258092215
3.66,54.81598346874565,0.2008593906125902,56.46596361926504
3.661,54.82913579666254,0.20093030134501605,56.480611942408544
3.662,54.842341837982815,0.20099947732042123,56.495307279182114
3.663,54.85560117803559,0.20106691334996393,56.51004934171317
3.664,54.86891338102543,0.20113260668925123,56.52483782559081
3.665,54.882277989786104,0.2011965520477919,56.53967240971002
3.666,54.89569452586773,0.20125874539824917,56.55455275639821
3.667,54.90916248970617,0.2013191827615169,56.569478511652946
3.668,54.92268136034695,0.2013778601459631,56.58444930494177
3.669,54.93625059549556,0.2014347729119688,56.59946474928758
3.67,54.94986963167554,0.20148991678790468,56.61452444150295
3.671,54.96353788410059,0.20154328770078137,56.62962796213169
3.672,54.97725474670629,0.20159488212016732,56.64477487552287
3.673,54.99101959213376,0.20164469494771375,56.65996472988299
3.674,55.004831771908485,0.20169272249510678,56.675197057523235
3.675,55.01869061624339,0.20173896056837015,56.690471374728006
3.676,55.03259543419084,0.20178340467592498,56.70578718193396
3.677,55.04654551364579,0.20182605158401823,56.72114396383054
3.678,55.06054012141203,0.20186689645542216,56.7365411894711
3.679,55.07457850318624,0.20190593534971976,56.75197831232994
3.68,55.088659883619826,0.20194316449777105,56.767454770388625
3.681,55.10278346638692,0.20197857955044418,56.78296998630675
3.682,55.11694843418723,0.2020121761806837,56.79852336746082
3.683,55.131153948859,0.20204395106577672,56.81411430611186
3.684,55.14539915145734,0.20207389990391825,56.82974217955683
3.685,55.15968316217942,0.20210201851785192,56.845406350104696
3.686,55.174005080591584,0.20212830314420877,56.86110616535787
3.687,55.18836398557341,0.20215275039898217,56.87684095823356
3.688,55.202758935449424,0.20217535508727766,56.89261004711493
3.689,55.21718896807622,0.2021961141836319,56.90841273602297
3.69,55.23165310092387,0.20221502425470078,56.92424831474932
3.691,55.24615033112945,0.20223208066768353,56.94011605896081
3.692,55.260679635543895,0.20224728041903417,56.95601523030568
3.693,55.275239970962396,0.20226061896409092,56.97194507668796
3.694,55.28983027402319,0.2022720930661919,56.98790483223017
3.695,55.30444946157167,0.2022816984706406,57.003893717689806
3.696,55.319096430479675,0.20228943238264735,57.019910940322745
3.697,55.33377005783766,0.20229529040881597,57.03595569413345
3.698,55.34846920126733,0.2022992695299034,57.0520271602377
3.699,55.36319269871736,0.20230136574762636,57.06812450669989
3.7,55.37793936876566,0.2023015759523668,57.08424688891495
3.701,55.39270801079454,0.20229989674548726,57.10039344978156
3.702,55.40749740489674,0.2022963238880763,57.11656331969249
3.703,55.422306312160735,0.20229085468980712,57.13275561686244
3.704,55.43713347480365,0.20228348566894377,57.14896944749698
3.705,55.451977616234146,0.2022742137811426,57.16520390589966
3.706,55.46683744117716,0.2022630355380285,57.181458074654415
3.707,55.481711635895905,0.20224994751122918,57.19773102487909
3.708,55.49659886828193,0.20223494670737116,57.214021816337066
3.709,55.511497788063124,0.20221802999448546,57.23032949775529
3.71,55.52640702671309,0.2021991942779085,57.24665310666779
3.711,55.5413251979918,0.2021784363937931,57.26299167009094
3.712,55.55625089783649,0.20215575402307684,57.279344204403685
3.713,55.57118270447138,0.20213114299943474,57.2957097155024
3.714,55.586119178787996,0.20210460224604024,57.31208719920238
3.715,55.601058864420985,0.20207612706071565,57.32847564137495
3.716,55.61600028770102,0.202045716327501,57.344874017913625
3.717,55.63094195824631,0.20201336632486788,57.36128129535598
3.718,55.64588236877283,0.20197907498638662,57.377696430729316
3.719,55.660819995378546,0.20194283905673185,57.39411837184829
3.72,55.67575329783926,0.20190465629488963,57.410546057666465
3.721,188.44710627553388,-0.46131261390042144,201.3045364239747
3.722,72.61314448275893,0.1114630930752114,77.4543957259964
3.723,62.31975600580306,0.19117113366962257,66.46292349468744
3.724,59.39272382755939,0.2090325178517638,63.34216609920247
3.725,57.945827559442534,0.24115882830515734,61.803756385265004
3.726,56.83108861758208,0.22996241160592162,60.587901337572646
3.727,52.740680829982146,0.26173599854453766,56.258615924670536
3.728,57.48437188460548,0.2332239600050296,61.21320826615576
3.729,70.41808927885971,0.15812567170284458,75.16920308593805
3.73,57.59838614716021,0.21488709120863786,61.33877851352695
3.731,56.59459325979785,0.20856954738110628,60.27719198713591
3.732,53.585097347922826,0.23957846773737665,56.93951812458005
3.733,54.235288115846274,0.23571451792030865,57.643307012683806
3.734,54.50543939612564,0.23381527350873818,57.94220428944452
3.735,54.57166649682791,0.2327262749067797,58.02385928377791
3.736,55.92280564215732,0.22135548262786747,59.61773047561006
3.737,54.41264429327294,0.22734111604954588,56.98562461542744
3.738,56.26889941751717,0.21920696179291607,58.90372019731103
3.739,57.32436633710939,0.21502728037522628,60.020289054979344
3.74,57.79841339590795,0.2138392143181261,60.52684911129458
3.741,57.87137646998261,0.21476092153663662,60.61250163405974
3.742,65.22870271970332,0.21959580530563413,68.90130683358471
3.743,71.99891874102573,0.13391483428660722,76.44613340876163
3.744,55.315504684127085,0.24670165151229412,58.50118789891074
