time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.045,0.0441564,0.0268641,3.22632,-2.98066,0.112513,0.109519,0.0980913,1.7331,-1.51791,0.112416,0.0260778,0.0146507,2.74358,-2.84835,0.112443,0.0973052,0.0800128,1.83373,-1.6451,0.112539,-0.0300008,6.22168e-08,0.113528,0.000300055,3.24267e-05,-1.55996e-06,1,-4.51315e-05,1.11348e-06,0.0180285,0.0330075,0.00722933,-0.000218495,0.0018061,0.00637366,0.409901
1.046,0.0458147,0.0278729,3.09049,-2.88577,0.112532,0.113632,0.101775,1.22518,-1.03359,0.112429,0.0270572,0.0152008,2.96495,-3.0467,0.11246,0.100959,0.0830175,1.48721,-1.29543,0.112561,-0.0300008,6.22139e-08,0.113545,0.000317316,3.6777e-05,-1.68252e-06,1,-4.44682e-05,1.08491e-06,0.0175463,0.0345209,0.00870047,-0.000246622,-2.28836e-05,0.0058912,-0.482159
1.047,0.0474902,0.0288923,3.25259,-3.04326,0.11255,0.117787,0.105497,1.42703,-1.28695,0.112443,0.0280467,0.0157567,2.97681,-3.10601,0.112476,0.104652,0.0860535,1.49712,-1.33061,0.112582,-0.0300008,6.22109e-08,0.113561,0.000332653,4.00823e-05,-1.80578e-06,1,-3.43042e-05,7.87269e-07,0.0175794,0.030674,0.0066106,-0.000247499,0.00937495,0.00625097,0.0330797
1.048,0.0491825,0.0299218,3.16453,-3.04008,0.112573,0.121984,0.109256,3.28855,-2.80367,0.112465,0.0290461,0.0163181,2.50039,-2.72596,0.112493,0.108381,0.0891199,2.16513,-2.118,0.1126,-0.0300008,6.22077e-08,0.11358,0.000334804,3.4264e-05,-1.94386e-06,1,-1.4122e-05,-6.62704e-07,0.0199482,0.00430343,-0.0116367,-0.000272108,0.019348,0.00670461,2.36881
1.049,0.0508911,0.0309612,3.14087,-2.91044,0.112598,0.126222,0.113052,2.39116,-2.01173,0.112491,0.0300552,0.016885,2.55455,-2.72589,0.11251,0.112146,0.0922158,1.98638,-1.96697,0.112617,-0.0300008,6.22044e-08,0.1136,0.000333824,2.38546e-05,-2.09153e-06,1,-1.73866e-05,-9.63821e-07,0.0210636,-0.00196086,-0.0208189,-0.000288439,-0.00378573,0.00699302,1.11533
1.05,0.0526154,0.0320102,2.91434,-2.61126,0.112625,0.130499,0.116882,2.38224,-1.96657,0.112517,0.0310736,0.0174571,2.59799,-2.71283,0.112528,0.115946,0.0953403,2.57545,-2.35832,0.112635,-0.0300008,6.22009e-08,0.113621,0.000335367,1.29914e-05,-2.23817e-06,1,-1.88915e-05,-6.9708e-07,0.0224849,0.00308635,-0.0217264,-0.000285957,-0.00179673,0.00780011,1.42139
1.051,0.0543551,0.0330686,2.579,-2.26211,0.112653,0.134814,0.120747,2.41406,-1.98478,0.112544,0.032101,0.0180342,2.47559,-2.54959,0.112548,0.119779,0.0984925,3.12659,-2.59291,0.112657,-0.0300008,6.21972e-08,0.113643,0.00034083,4.69054e-06,-2.37828e-06,1,-1.95211e-05,-3.35807e-07,0.0239002,0.0109259,-0.0166018,-0.000274513,-0.000735042,0.00801323,1.41525
1.052,0.0561096,0.0341359,2.3597,-2.03723,0.112683,0.139165,0.124644,2.63205,-2.19963,0.112569,0.0331372,0.0186163,2.37408,-2.43516,0.11257,0.123645,0.101672,3.53325,-2.91847,0.112683,-0.0300008,6.21933e-08,0.113668,0.000353517,3.33628e-07,-2.52272e-06,1,-1.17097e-05,3.01551e-07,0.0256372,0.0253737,-0.00871386,-0.00028578,0.00780358,0.00880179,1.73698
1.053,0.0578784,0.035212,2.37903,-2.10747,0.112712,0.143552,0.128573,2.32095,-1.98994,0.112595,0.0341818,0.0192032,2.27831,-2.37376,0.112592,0.127543,0.104877,2.63985,-2.20639,0.11271,-0.0300008,6.21892e-08,0.113693,0.000365749,-3.51862e-06,-2.67618e-06,1,-2.25076e-06,1.37598e-07,0.0260975,0.024465,-0.00770454,-0.000304184,0.00953115,0.00734881,0.460333
1.054,0.0596613,0.0362966,2.27125,-1.99113,0.112742,0.147974,0.132534,2.45841,-2.11885,0.11262,0.0352348,0.0197947,2.23673,-2.30518,0.112616,0.131472,0.108107,3.17983,-2.67735,0.112739,-0.0300008,6.21849e-08,0.113718,0.000383502,-4.44577e-06,-2.84171e-06,1,6.07645e-06,5.73738e-07,0.0271357,0.0355046,-0.00185434,-0.00033052,0.00842352,0.008757,1.03818
1.055,0.0614577,0.0373895,2.22379,-1.98012,0.112773,0.15243,0.136524,2.2863,-2.01362,0.112644,0.0362957,0.0203906,2.11362,-2.21443,0.112641,0.135431,0.111362,2.69689,-2.3063,0.11277,-0.0300008,6.21804e-08,0.113744,0.000402371,-4.31897e-06,-3.01573e-06,1,1.46558e-05,5.34946e-07,0.0273554,0.0377392,0.000253587,-0.000348306,0.00866591,0.00803264,0.219717
1.056,0.0632673,0.0384903,2.26207,-2.03148,0.112803,0.156918,0.140544,2.11448,-1.88181,0.112668,0.0373644,0.020991,2.12029,-2.21851,0.112665,0.139418,0.114641,2.49501,-2.14147,0.1128,-0.0300008,6.21758e-08,0.11377,0.000422032,-3.3951e-06,-3.19993e-06,1,2.13308e-05,4.83871e-07,0.0272565,0.0393211,0.0018477,-0.000369305,0.00674085,0.00814579,-0.0988906
1.057,0.0650895,0.0395989,2.2663,-2.0626,0.112833,0.161437,0.144592,2.23466,-1.97521,0.112692,0.0384406,0.0215955,2.08799,-2.18589,0.11269,0.143434,0.117943,2.42044,-2.11252,0.112831,-0.0300008,6.2171e-08,0.113796,0.000440337,-2.86567e-06,-3.39474e-06,1,3.0154e-05,2.53968e-07,0.027229,0.0366114,0.00105882,-0.000390194,0.00887928,0.00838524,-0.0275817
1.058,0.0669242,0.0407151,2.23536,-2.06024,0.112863,0.165988,0.148668,2.36676,-2.07907,0.112717,0.0395241,0.0222042,1.99628,-2.11403,0.112714,0.147477,0.121268,2.37812,-2.12322,0.11286,-0.0300008,6.2166e-08,0.113822,0.000456458,-3.85166e-06,-3.59834e-06,1,3.96539e-05,-2.33611e-08,0.027226,0.0322409,-0.00197206,-0.000406414,0.00957552,0.00867564,-0.0029809
