time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.811,2.9742429066264866e-06,3.7066700193240555e-08,55.12420968656289,2.973825037422553e-06,-3.869163885636042e-08,55.11661642532606,-1.3521066433172136e-06,-3.783233011819577e-08,55.13239687222551,-1.3515187629132385e-06,3.7828617297395175e-08,55.108434075152104
0.812,2.9742429341830535e-06,3.706670002942708e-08,55.1242096866234,2.9738250646651585e-06,-3.869163902005245e-08,55.11661642538371,-1.3521066160820313e-06,-3.783232993076413e-08,55.13239687235455,-1.3515187353690637e-06,3.782861748607939e-08,55.10843407515671
0.813,2.974242961767657e-06,3.706669986609867e-08,55.12420968665435,2.973825091919721e-06,-3.8691639183711865e-08,55.116616425465025,-1.3521065888112017e-06,-3.7832329743360396e-08,55.13239687229884,-1.3515187077948802e-06,3.782861767456317e-08,55.10843407525809
0.814,2.9742429893652476e-06,3.7066699702728275e-08,55.12420968671384,2.9738251192170755e-06,-3.869163934691772e-08,55.11661642553807,-1.352106561528754e-06,-3.7832329553943977e-08,55.132396872377115,-1.3515186802070111e-06,3.782861786078839e-08,55.108434075337314
0.815,2.97424301699574e-06,3.706669954125971e-08,55.124209686745786,2.9738251465031983e-06,-3.869163951045316e-08,55.11661642550338,-1.352106534216003e-06,-3.7832329366917514e-08,55.13239687232658,-1.3515186525954438e-06,3.782861804976822e-08,55.10843407529384
0.816,2.9742430446370036e-06,3.706669937576562e-08,55.124209686734616,2.9738251738303684e-06,-3.869163967263037e-08,55.11661642556754,-1.3521065068861987e-06,-3.783232917830104e-08,55.132396872398076,-1.351518624953297e-06,3.782861823897317e-08,55.10843407531719
0.817,2.9742430723220654e-06,3.706669921145801e-08,55.12420968680266,2.9738252011791547e-06,-3.8691639837689645e-08,55.11661642550807,-1.352106479535958e-06,-3.783232898967114e-08,55.1323968725257,-1.3515185972984073e-06,3.782861842575802e-08,55.10843407538195
0.818,2.974243099999887e-06,3.706669904917555e-08,55.124209686907605,2.973825228542056e-06,-3.869164000094754e-08,55.11661642556628,-1.3521064521591391e-06,-3.7832328802973486e-08,55.13239687254854,-1.3515185696132235e-06,3.782861861366476e-08,55.10843407530747
0.819,2.9742431277167937e-06,3.706669888506678e-08,55.124209686902745,2.973825255942413e-06,-3.8691640164608946e-08,55.11661642561624,-1.352106424767636e-06,-3.783232861540267e-08,55.13239687256895,-1.3515185419068588e-06,3.782861880136411e-08,55.108434075375456
0.82,2.974243155445e-06,3.7066698720919866e-08,55.12420968691252,2.9738252833540154e-06,-3.869164032770575e-08,55.116616425691944,-1.3521063973405432e-06,-3.7832328427412577e-08,55.132396872526684,-1.3515185141819924e-06,3.7828618989737304e-08,55.10843407543288
0.821,2.9742431832056375e-06,3.706669855828941e-08,55.12420968696998,2.973825310785645e-06,-3.869164049209923e-08,55.11661642568261,-1.3521063699024813e-06,-3.783232823924622e-08,55.132396872600324,-1.3515184864375188e-06,3.782861917775432e-08,55.10843407544657
0.822,2.9742432109874846e-06,3.706669839458396e-08,55.12420968691758,2.973825338244068e-06,-3.8691640655838875e-08,55.11661642578834,-1.3521063424356507e-06,-3.7832328049570316e-08,55.132396872479845,-1.3515184586685406e-06,3.7828619366336146e-08,55.108434075529914
0.823,2.9742432387819086e-06,3.706669822974108e-08,55.12420968691397,2.9738253657072003e-06,-3.869164081823706e-08,55.11661642573763,-1.3521063149551363e-06,-3.783232786263586e-08,55.13239687259967,-1.3515184308862021e-06,3.782861955407393e-08,55.10843407553938
0.824,2.974243266608635e-06,3.706669806685979e-08,55.12420968700155,2.9738253932360184e-06,-3.869164098321213e-08,55.11661642585001,-1.3521062874445659e-06,-3.783232767328816e-08,55.13239687257929,-1.351518403069885e-06,3.7828619743304374e-08,55.108434075548914
0.825,2.9742432944598237e-06,3.706669790193554e-08,55.124209686999095,2.9738254207476045e-06,-3.869164114668862e-08,55.11661642582342,-1.3521062599204284e-06,-3.783232748533221e-08,55.13239687266848,-1.3515183752383322e-06,3.782861993069382e-08,55.1084340756223
0.826,2.9742433223090235e-06,3.706669773798837e-08,55.12420968701993,2.973825448294922e-06,-3.8691641309573054e-08,55.116616425876686,-1.3521062323730408e-06,-3.78323272972261e-08,55.13239687273426,-1.351518347380219e-06,3.782862011976854e-08,55.10843407563134
0.827,2.974243350199772e-06,3.706669757510632e-08,55.12420968699438,2.973825475853176e-06,-3.869164147402871e-08,55.11661642580003,-1.3521062047955073e-06,-3.783232710896892e-08,55.13239687258947,-1.3515183194984227e-06,3.7828620307049085e-08,55.10843407563726
0.828,2.9742433781134108e-06,3.706669741103347e-08,55.12420968708412,2.9738255034429026e-06,-3.8691641637635346e-08,55.11661642586138,-1.3521061772063804e-06,-3.7832326920610076e-08,55.13239687277897,-1.3515182916028995e-06,3.782862049543173e-08,55.10843407562224
0.829,2.9742434060487437e-06,3.706669724688579e-08,55.124209687132534,2.973825531051806e-06,-3.8691641802470075e-08,55.116616425925656,-1.3521061495866562e-06,-3.783232673235703e-08,55.13239687272751,-1.3515182636815832e-06,3.782862068284589e-08,55.10843407568399
0.83,2.974243434002017e-06,3.706669708191588e-08,55.12420968714618,2.9738255586815125e-06,-3.869164196826873e-08,55.11661642587039,-1.352106121953847e-06,-3.7832326542695e-08,55.132396872802715,-1.3515182357360427e-06,3.7828620872261624e-08,55.10843407568629
